0.100,-0.360,-0.160
0.170,-0.310,-0.250
0.240,-0.420,-0.330
0.330,-0.710,-0.390
0.400,-0.910,-0.590
0.350,-1.280,-0.920
0.360,-1.440,-1.560
0.310,-1.010,-2.050
0.340,-0.530,-2.460
0.580,0.020,-3.420
0.900,0.070,-3.860
0.860,-0.110,-4.070
-0.240,-1.340,-3.640
-0.650,-0.790,-3.610
-1.500,-0.130,-3.860
-3.140,0.980,-3.490
-4.070,3.700,-1.610
-3.680,4.510,-2.000
-1.890,2.970,-1.810
1.740,-4.990,2.470
2.490,-3.160,5.670
1.020,1.430,9.520
-1.470,5.800,3.500
-1.500,6.360,-1.400
-3.020,5.430,-2.440
-3.990,4.020,-1.820
-4.210,-0.730,-0.520
-2.340,-2.030,-1.380
-0.190,-2.120,-2.570
0.740,-3.550,3.250
2.310,-1.790,5.950
3.160,-1.350,7.540
6.930,-5.980,11.080
4.760,-7.240,9.680
4.980,-3.990,6.200
4.930,-1.490,4.330
8.190,-2.300,0.480
4.400,0.170,3.070
1.680,1.480,3.410
2.480,-0.630,1.930
-0.070,-1.960,2.280
0.310,-2.040,2.390
2.660,-1.970,2.530
2.660,-1.760,1.910
2.520,-1.850,0.550
1.210,0.990,-0.810
-2.190,-0.530,-3.750
-6.720,-3.860,-3.840
-6.120,-1.590,-6.270
-9.240,-0.540,-11.100
,,,
0.170,-0.310,-0.250
0.240,-0.420,-0.330
0.330,-0.710,-0.390
0.400,-0.910,-0.590
0.350,-1.280,-0.920
0.360,-1.440,-1.560
0.310,-1.010,-2.050
0.340,-0.530,-2.460
0.580,0.020,-3.420
0.900,0.070,-3.860
0.860,-0.110,-4.070
-0.240,-1.340,-3.640
-0.650,-0.790,-3.610
-1.500,-0.130,-3.860
-3.140,0.980,-3.490
-4.070,3.700,-1.610
-8.680,-0.370,-9.950
-11.740,-0.820,-11.150
-7.520,-2.970,-12.310
-7.520,-2.970,-12.310
-4.110,-1.270,-6.710
-4.230,-3.350,-6.720
-3.720,-2.560,-7.740
-3.770,-3.260,-7.780
-3.770,-3.260,-7.780
-3.350,-3.270,-6.100
0.510,-10.310,1.620
-0.380,-4.410,0.210
3.000,-1.540,-0.270
3.000,-1.540,-0.270
-0.210,0.650,1.880
3.970,2.810,6.660
3.590,2.210,11.020
5.450,3.740,11.120
5.450,3.740,11.120
8.650,3.530,7.990
9.710,-2.240,11.740
7.430,-3.190,8.770
6.600,-2.460,2.860
6.600,-2.460,2.860
6.690,-2.170,1.950
0.670,0.890,5.280
-0.360,-0.260,4.790
0.170,-0.350,4.610
0.170,-0.350,4.610
0.510,1.130,3.920
-0.590,-1.490,3.720
-0.560,2.180,0.240
-5.000,-3.110,0.080
-5.000,-3.110,0.080
,,,
0.240,-0.420,-0.330
0.330,-0.710,-0.390
0.400,-0.910,-0.590
0.350,-1.280,-0.920
0.360,-1.440,-1.560
0.310,-1.010,-2.050
0.340,-0.530,-2.460
0.580,0.020,-3.420
0.900,0.070,-3.860
0.860,-0.110,-4.070
-0.240,-1.340,-3.640
-0.650,-0.790,-3.610
-1.500,-0.130,-3.860
-3.140,0.980,-3.490
-4.070,3.700,-1.610
-8.680,-0.370,-9.950
1.570,3.930,3.520
0.320,1.800,0.790
-2.920,-0.270,2.330
-1.920,-0.150,-1.710
-3.330,-0.540,-4.370
-5.740,-2.350,-6.690
-8.950,-3.460,-8.170
-9.420,-4.180,-10.530
-8.960,-1.980,-11.550
-7.530,-0.920,-9.420
-7.040,0.140,-5.830
-7.320,0.320,-3.950
-6.630,-4.960,-8.960
-3.500,-5.670,-7.780
-3.710,-5.680,-6.550
-3.120,-4.390,-5.150
